Row (x), Pitch (Y), Yaw (Z), Time (s)
11.11,23.59,-3.79,12.16
13.47,-12.68,-14.62,12.26
24.77,5.12,-6.61,12.37
11.48,4.52,-11.01,12.47
9.61,8.01,0.36,12.57
9.02,13.75,0.17,12.68
7.46,-6.08,1.04,12.78
13.34,23.25,3.64,12.89
11.47,31.37,5.10,13.16
10.95,-9.89,-8.12,13.27
19.55,-11.33,0.60,13.37
14.25,-5.02,-5.09,13.48
7.76,5.54,4.78,13.58
9.21,13.00,3.61,13.68
8.76,-3.10,5.21,13.79
7.77,18.15,8.02,13.89
5.62,2.64,9.34,13.99
1.51,4.06,14.27,14.10
12.68,22.95,10.78,14.37
8.95,5.52,2.55,14.47
5.57,1.10,15.60,14.58
9.17,13.73,13.09,14.68
5.93,-3.23,11.47,14.78
5.69,29.30,14.81,14.89
4.13,10.10,14.89,14.99
19.22,19.50,18.50,15.10
15.71,18.96,9.40,15.20
12.62,2.68,9.18,15.30
7.08,-9.02,30.53,15.58
9.10,12.35,25.61,15.68
5.94,-5.89,19.95,15.78
8.14,27.84,23.27,15.89
6.38,-11.34,20.27,15.99
14.29,10.03,22.53,16.10
8.35,19.49,13.38,16.20
11.13,1.61,13.13,16.31
8.03,22.72,14.42,16.41
4.79,0.31,7.22,16.51
2.99,-10.45,3.01,16.79
8.34,24.47,8.59,16.89
7.79,-15.48,7.61,17.00
7.88,3.21,11.09,17.10
12.14,13.94,2.34,17.20
12.63,3.16,3.15,17.31
7.74,25.39,5.82,17.41
8.22,-1.25,-1.49,17.51
9.41,10.33,1.44,17.62
5.91,9.87,-9.88,17.72
3.95,2.88,-20.86,17.99
10.19,10.10,-12.36,18.10
7.21,15.95,-13.74,18.20
9.71,-3.42,-8.53,18.30
7.54,17.12,-2.23,18.41
5.57,9.40,-6.11,18.51
1.11,10.20,-1.45,18.61
3.94,1.19,-7.34,18.72
7.13,-10.98,-2.15,18.82
11.41,19.30,-0.65,18.93
3.94,29.83,-9.96,19.20
9.96,3.87,-6.49,19.31
8.40,23.45,-0.80,19.41
10.47,12.87,-6.32,19.52
8.16,14.83,-2.68,19.62
3.27,10.98,-10.71,19.72
5.51,-4.71,-3.23,19.83
11.68,20.69,-1.84,19.93
10.50,-19.51,-13.54,20.03
8.16,15.04,-5.01,20.14
7.22,29.64,-0.83,20.42
12.51,2.69,-9.98,20.52
6.57,11.22,-6.08,20.63
1.32,8.29,-18.41,20.73
4.49,-1.06,-5.89,20.83
9.26,16.58,-4.99,20.94
2.76,-19.06,-10.52,21.04
13.97,15.55,-1.56,21.15
8.31,9.19,-1.98,21.25
8.01,5.95,1.70,21.35
8.12,9.28,6.64,21.63
1.71,8.98,-6.63,21.73
4.70,-0.24,6.09,21.84
8.07,18.12,5.54,21.94
2.81,-11.51,-1.37,22.05
7.73,19.09,6.60,22.15
8.57,9.37,4.48,22.25
3.57,10.61,8.75,22.36
8.53,10.59,4.42,22.46
10.18,-3.33,7.26,22.56
8.73,-15.64,12.93,22.83
12.56,18.84,12.50,22.93
16.87,-4.12,-3.59,23.04
15.56,21.28,4.46,23.14
16.96,-9.10,-0.91,23.25
11.71,3.27,8.21,23.35
8.59,14.55,5.05,23.45
6.00,-4.67,6.28,23.56
7.13,18.87,11.33,23.66
5.80,1.66,9.93,23.76
18.31,-6.86,-18.17,24.04
11.83,16.55,-7.52,24.14
11.40,-6.51,-12.62,24.25
9.06,5.95,-2.26,24.35
9.30,16.40,-4.42,24.46
6.50,-5.70,-1.89,24.56
9.58,20.09,4.07,24.66
7.73,1.73,3.59,24.77
2.18,13.69,6.91,24.87
5.34,16.90,-1.06,24.98
12.25,-16.91,-10.09,25.25
11.39,3.33,1.22,25.35
9.46,14.91,-1.21,25.46
5.78,-6.08,1.65,25.56
9.93,20.20,7.44,25.67
7.03,1.86,6.82,25.77
4.10,6.82,10.86,25.87
6.10,14.34,1.70,25.98
11.21,-2.16,3.64,26.08
11.07,19.16,5.48,26.18
7.12,24.84,2.37,26.46
4.34,-4.42,2.39,26.56
10.81,19.39,8.63,26.66
8.88,-21.25,6.12,26.77
6.25,-8.48,10.81,26.87
12.00,8.00,4.44,26.98
13.16,-0.97,5.62,27.08
10.62,18.67,6.83,27.18
14.48,-1.78,-2.92,27.29
9.54,13.27,0.77,27.39
20.45,18.69,12.42,27.66
9.81,10.79,8.35,27.77
11.71,7.08,13.26,27.87
12.90,10.21,7.70,27.98
12.86,-1.83,9.74,28.08
7.04,22.33,10.85,28.18
4.91,15.74,2.52,28.29
4.97,14.84,6.58,28.39
4.78,15.51,-4.44,28.49
5.71,-1.42,2.27,28.60
12.14,0.25,9.32,28.87
12.17,12.45,4.77,28.98
11.12,-2.55,7.93,29.08
7.09,20.78,10.32,29.18
7.58,12.52,4.64,29.29
3.16,11.29,9.33,29.39
8.77,11.49,-3.88,29.49
8.46,-4.70,1.39,29.60
11.45,19.63,2.42,29.70
9.89,-16.77,-10.11,29.81
9.01,-10.14,-0.89,30.08
7.18,19.87,3.98,30.18
7.44,9.79,0.08,30.29
7.82,4.38,5.66,30.39
5.39,7.74,-3.92,30.49
7.65,-3.91,0.85,30.60
10.84,20.66,2.29,30.70
13.80,-4.44,-11.65,30.81
22.77,2.81,-3.84,30.91
14.53,0.30,-8.45,31.01
9.43,-1.81,-9.72,31.28
9.42,6.95,-3.77,31.39
8.10,10.48,-10.80,31.49
10.18,-1.95,-6.93,31.60
11.97,19.61,-4.23,31.70
12.69,-7.80,-16.85,31.80
17.38,19.39,-15.56,31.91
12.34,3.56,-20.46,32.01
8.24,0.97,-6.59,32.12
9.97,12.53,-6.82,32.22
9.23,18.71,-27.82,32.50
7.64,-1.09,-17.44,32.61
9.72,20.29,-14.22,32.71
7.80,-15.22,-25.09,32.81
14.47,-0.99,-13.72,32.92
10.24,0.68,-18.00,33.02
11.74,20.88,-12.47,33.13
9.56,17.00,-12.16,33.23
8.99,-0.64,-7.17,33.33
16.40,12.01,-0.99,33.44
10.29,18.22,0.43,33.72
6.73,-3.89,1.32,33.83
6.84,22.17,4.77,33.93
8.86,-0.37,0.48,34.04
7.00,-22.70,8.47,34.14
4.99,-7.32,0.84,34.24
8.07,-10.26,12.36,34.35
8.25,18.39,12.59,34.45
7.31,-6.46,2.81,34.56
10.20,16.72,5.58,34.66
15.97,46.68,11.74,34.93
19.34,-16.69,9.73,35.03
8.29,-15.56,14.96,35.14
9.11,13.18,8.05,35.24
11.79,-7.61,12.93,35.35
12.88,25.33,13.57,35.45
5.09,25.61,5.93,35.55
11.85,22.94,10.73,35.66
9.89,15.10,7.24,35.76
9.69,14.24,10.29,35.87
13.91,-1.71,-2.22,36.14
10.61,0.63,-16.91,36.25
8.43,-4.90,-13.39,36.35
8.19,11.58,-10.66,36.46
10.49,-18.18,-10.28,36.56
27.92,-14.92,-3.29,36.66
16.89,-4.20,-16.71,36.77
11.21,8.11,-13.30,36.87
12.81,14.39,-15.53,36.97
5.55,1.60,-15.15,37.08
4.87,16.66,-6.21,37.37
9.42,15.87,-9.02,37.47
10.42,-2.50,-3.00,37.58
5.69,21.18,1.26,37.68
9.42,14.69,-3.04,37.78
8.89,24.77,-3.97,37.89
2.52,14.27,-15.88,37.99
6.64,-2.89,-10.30,38.10
10.83,21.38,-7.95,38.20
9.58,-9.74,-16.95,38.30
11.94,-6.89,-10.04,38.58
8.74,18.93,-6.11,38.69
9.06,10.44,-13.44,38.79
8.85,15.36,-7.48,38.90
5.58,4.10,-16.85,39.00
5.87,-4.85,-7.18,39.10
8.23,18.23,-6.75,39.21
4.63,-14.05,-8.43,39.31
11.93,17.23,4.16,39.41
11.78,0.06,-1.90,39.52
27.27,-15.46,-20.43,39.80
12.53,19.19,-15.42,39.90
7.12,-3.11,-19.69,40.01
7.43,-7.47,-4.73,40.11
9.30,17.42,-5.22,40.21
3.07,-7.91,-7.77,40.32
4.76,21.91,1.89,40.42
8.60,0.93,0.71,40.53
6.38,2.90,3.00,40.63
7.67,14.39,-2.51,40.73
6.94,-4.56,-11.06,41.01
5.64,-5.77,4.90,41.11
9.48,15.99,2.53,41.22
4.92,1.61,1.28,41.32
4.13,23.14,8.95,41.42
12.23,-20.40,9.20,41.53
9.44,-1.83,11.27,41.63
7.81,13.78,3.82,41.74
11.41,2.52,5.45,41.84
8.26,23.60,8.15,41.94
8.41,27.22,6.30,42.21
4.32,-12.29,1.56,42.32
5.43,18.04,14.28,42.42
8.50,-0.04,6.86,42.52
9.60,14.43,8.12,42.63
8.12,16.27,5.17,42.73
10.68,-4.94,8.35,42.84
11.17,16.97,11.73,42.94
3.59,0.83,7.20,43.04
7.75,6.12,10.31,43.15
23.19,-6.52,16.15,43.42
15.39,-3.24,8.00,43.52
8.91,6.73,17.35,43.63
9.27,14.44,13.89,43.73
7.61,-5.60,13.54,43.83
12.57,15.56,16.12,43.94
7.01,1.15,16.86,44.04
11.37,3.76,19.30,44.14
14.39,13.22,9.40,44.25
12.29,-2.43,8.65,44.35
8.80,12.04,22.98,44.63
10.12,16.29,18.32,44.73
7.79,-4.13,18.42,44.83
7.67,12.27,21.19,44.94
6.43,2.35,21.06,45.04
10.42,3.60,22.60,45.15
15.18,12.64,12.19,45.25
12.63,-3.53,11.27,45.35
10.94,20.86,11.92,45.46
11.04,4.54,-0.24,45.56
9.75,-11.87,4.85,45.84
14.20,9.47,9.21,45.94
5.88,2.29,7.86,46.05
5.25,12.42,12.92,46.15
9.99,2.70,4.20,46.26
9.76,-10.23,5.15,46.36
11.98,19.05,5.72,46.46
13.67,-0.05,-8.95,46.57
15.09,14.69,-2.39,46.67
12.45,-6.05,-10.10,46.78
9.20,-2.74,-12.14,47.05
5.16,11.96,-3.37,47.15
10.38,-1.48,-10.80,47.26
10.21,-6.98,-8.46,47.36
12.26,19.68,-6.14,47.47
14.55,0.67,-18.95,47.57
16.23,13.95,-11.61,47.67
13.53,-5.52,-19.36,47.78
8.24,1.62,-7.06,47.88
6.89,15.61,-7.29,47.99
6.66,11.52,-25.65,48.27
5.73,-2.82,-12.77,48.37
10.92,16.93,-10.16,48.48
6.02,-17.08,-12.83,48.58
10.48,24.98,-2.22,48.69
4.81,1.44,-1.91,48.79
8.01,9.56,1.69,48.89
11.78,15.64,-1.23,49.00
10.93,-2.32,2.98,49.10
7.83,25.12,6.53,49.21
8.96,24.87,5.21,49.48
1.31,-17.36,0.78,49.59
12.92,15.63,7.91,49.69
11.05,10.34,4.87,49.80
10.75,7.20,9.86,49.90
10.44,14.01,4.22,50.00
12.76,-1.59,6.81,50.11
8.87,22.44,8.21,50.21
8.39,19.88,2.33,50.31
6.86,14.37,6.07,50.42
8.68,33.74,21.41,50.69
5.00,0.35,19.29,50.79
7.58,10.38,20.02,50.90
11.44,15.68,14.72,51.00
10.30,-2.44,17.38,51.10
8.62,21.62,19.09,51.21
0.59,2.55,15.45,51.31
7.23,2.94,18.15,51.42
2.77,8.45,6.20,51.52
8.59,-3.07,8.87,51.62
5.52,7.83,18.69,51.90
6.14,17.00,13.45,52.00
5.99,-6.41,14.13,52.10
11.17,19.21,18.02,52.21
6.93,2.46,13.77,52.31
3.21,7.27,18.46,52.42
7.37,12.41,8.98,52.52
10.46,-3.63,10.10,52.62
14.00,18.99,11.22,52.73
16.23,-7.37,-2.36,52.83
5.72,-14.85,1.87,53.10
10.11,15.17,7.64,53.21
7.32,-3.99,4.81,53.31
2.97,9.42,10.01,53.42
8.06,15.02,0.75,53.52
11.33,-3.58,2.96,53.63
13.71,18.43,4.95,53.73
14.21,-4.68,-8.36,53.83
15.68,22.44,-6.79,53.94
11.04,3.37,-12.36,54.04
5.80,0.75,-13.96,54.31
2.85,8.93,-6.13,54.42
9.08,10.22,-13.56,54.52
11.54,-4.39,-9.45,54.63
13.34,17.97,-6.20,54.73
14.63,-9.76,-18.18,54.83
13.35,22.93,-15.40,54.94
11.33,2.87,-20.08,55.04
8.94,-0.39,-6.09,55.15
10.66,12.67,-6.46,55.25
10.54,3.92,-25.52,55.53
8.73,-5.44,-14.98,55.64
9.97,18.21,-12.75,55.74
6.84,-13.01,-20.78,55.85
8.70,12.97,-7.57,55.95
9.76,0.99,-11.61,56.05
8.15,17.94,-7.57,56.16
8.16,18.29,-8.90,56.26
10.19,-4.38,-4.56,56.37
10.34,16.70,0.57,56.47
9.61,24.79,-2.10,56.75
3.49,-5.28,-3.93,56.85
5.72,21.26,4.84,56.96
15.44,-13.58,5.67,57.06
12.06,-0.94,8.35,57.17
6.08,16.51,0.49,57.27
10.78,2.61,2.73,57.37
9.22,23.03,6.41,57.48
4.66,9.55,0.55,57.58
6.90,13.34,3.42,57.69
12.06,24.90,24.80,57.96
9.45,3.04,14.39,58.06
7.80,11.86,15.12,58.16
5.52,17.43,10.04,58.27
10.53,-3.20,12.56,58.37
10.58,16.05,16.16,58.47
6.94,5.65,10.04,58.58
7.44,13.57,14.60,58.68
7.41,3.57,5.51,58.79
9.21,-10.06,7.46,58.89
6.84,9.81,11.77,59.16
6.05,18.28,7.31,59.27
10.42,-3.85,9.69,59.37
13.05,12.64,14.12,59.48
11.36,2.34,8.85,59.58
8.20,12.72,14.01,59.68
9.53,2.99,5.03,59.79
9.21,-8.89,6.35,59.89
12.32,20.42,6.90,60.00
